7.43,0.89,0.64,0.52,4.7,0.66,0.02,0.69,0.67,0.19,0.86,0.39,0.05,0.05,0.05,0.57,0.0,52.64,0.0
8.9,0.4,0.77,0.35,5.1,0.92,0.13,0.04,3.71,0.31,0.82,0.64,0.05,0.05,0.05,0.03,0.0,2.0399999999999996,0.0
7.21,0.45,0.22,0.12,6.43,0.72,0.36,0.58,2.99,0.19,0.37,0.88,0.05,0.05,0.05,0.73,0.0,0.0,43.056000000000004
1.67,0.79,0.89,0.98,4.05,0.41,0.14,0.31,5.27,0.97,0.71,0.6,0.05,0.05,0.05,2.09,69.472,0.0,0.0
3.31,0.16,0.53,0.09,4.77,0.22,0.93,0.89,5.55,0.44,0.89,0.88,0.05,0.05,0.05,1.95,1.7967430639324486,126.8157099697885,0.0
3.66,0.2,0.58,0.46,4.86,0.48,0.37,0.82,5.48,0.71,0.65,0.51,0.05,0.05,0.05,0.63,9.047846889952154,6.808695652173913,0.40844720496894404
5.94,0.08,0.44,0.72,3.14,0.65,0.05,0.27,5.41,0.16,0.88,0.7,0.05,0.05,0.05,1.48,0.0,92.31599999999999,0.0
6.39,0.92,0.33,0.87,5.33,0.79,0.59,0.82,2.66,0.82,0.27,0.15,0.05,0.05,0.05,1.72,218.53799999999998,0.0,0.0
2.13,0.16,0.51,0.89,4.7,0.86,0.26,0.15,4.31,0.53,0.32,0.03,0.05,0.05,0.05,0.78,31.784883720930235,0.06391948864409085,0.0
7.37,0.1,1.0,0.27,8.34,0.33,0.33,0.91,6.1,0.58,0.87,0.6,0.05,0.05,0.05,2.32,5.647509578544062,169.2057692307692,0.0
5.68,0.03,0.92,0.73,7.33,0.44,0.24,0.22,7.97,0.19,0.2,0.43,0.05,0.05,0.05,0.72,0.0,1.076674500587544,86.23278688524589
4.3,0.04,0.71,0.43,5.93,0.0,0.38,0.98,6.83,0.21,0.52,0.21,0.05,0.05,0.05,0.78,0.0,68.78799999999998,2.2089262613195344
7.0,0.68,0.6,0.08,9.74,0.78,0.85,0.99,0.27,0.58,0.4,0.95,0.05,0.05,0.05,1.38,80.57553956834533,5.7519685039370065,0.0
0.47,0.68,0.58,0.98,8.71,0.72,0.02,0.37,10.29,0.34,0.68,0.4,0.05,0.05,0.05,1.38,0.0,238.65400000000005,0.0
4.98,0.96,0.11,0.17,5.0,0.45,0.2,0.72,5.96,0.0,0.83,0.46,0.05,0.05,0.05,0.07,0.0,5.504587155963302,0.6394849785407726
9.67,0.68,0.84,0.25,9.98,0.13,0.7,0.62,6.93,0.49,0.89,0.63,0.05,0.05,0.05,1.15,0.8246832358674464,77.8167641325536,3.1447058823529406
2.62,0.61,0.09,0.91,4.36,0.63,0.0,0.68,3.66,0.7,1.0,0.93,0.05,0.05,0.05,2.69,27.782550335570477,0.0,80.52000000000001
4.94,0.77,0.79,0.26,2.72,0.85,0.83,0.86,0.42,0.36,0.79,0.33,0.05,0.05,0.05,2.48,0.0,134.368,0.0
10.91,0.43,0.93,0.21,6.75,0.87,0.15,0.61,8.81,0.7,0.15,0.32,0.05,0.05,0.05,1.0,216.01800000000003,0.0,0.0
1.47,0.38,0.54,0.17,4.05,0.36,0.67,0.52,7.7,0.25,0.21,0.48,0.05,0.05,0.05,2.01,0.0,0.0,308.0
3.97,0.12,0.08,0.92,10.26,0.33,0.54,0.06,0.57,0.49,0.16,0.8,0.05,0.05,0.05,0.81,3.224729241877256,2.3860465116279066,3.5280464216634426
5.42,0.38,0.53,0.39,3.5,0.76,0.41,0.26,7.4,0.8,0.45,0.44,0.05,0.05,0.05,2.4,259.076,0.0,0.0
2.49,0.73,0.5,0.86,4.41,0.88,0.79,0.15,4.25,0.51,0.78,0.01,0.05,0.05,0.05,2.13,0.0,186.984,0.0
10.01,0.5,0.15,0.55,3.17,0.42,0.61,0.86,0.35,0.93,0.53,0.19,0.05,0.05,0.05,1.04,206.20599999999996,0.0,0.0
6.8,0.53,0.28,0.98,1.04,0.7,0.24,0.56,5.95,0.96,0.76,0.82,0.05,0.05,0.05,2.2,110.49999999999999,0.0,2.871621621621622
8.24,0.02,0.1,0.31,5.32,0.09,0.29,0.65,10.66,0.37,0.29,0.41,0.05,0.05,0.05,0.59,21.629999999999992,3.791874554526016,16.968732234223992
9.06,0.31,0.07,0.88,5.9,0.66,0.45,0.12,0.31,0.46,0.41,0.96,0.05,0.05,0.05,2.31,3.066731141199226,0.0,8.520245398773005
2.23,0.93,0.49,0.63,3.61,0.46,0.23,0.17,9.74,0.26,0.16,0.38,0.05,0.05,0.05,1.4,0.0,0.0,270.77200000000005
10.14,0.93,0.04,0.02,8.56,0.28,0.59,0.47,10.12,0.33,0.14,0.26,0.05,0.05,0.05,1.24,73.9375,0.0,17.82439537329127
8.31,0.63,0.98,0.18,5.55,0.37,0.55,0.93,6.06,0.54,0.26,0.38,0.05,0.05,0.05,2.04,337.386,0.0,0.0
8.41,0.75,0.03,0.68,6.31,0.3,0.41,0.03,2.74,0.44,0.53,0.63,0.05,0.05,0.05,2.69,0.0,24.09849246231156,33.24686192468619
4.08,0.69,1.0,0.5,8.46,0.15,0.82,0.24,8.57,0.94,0.7,0.0,0.05,0.05,0.05,2.58,209.71199999999996,0.0,0.0
1.54,0.62,0.31,0.47,2.12,0.9,0.88,0.37,0.75,0.09,0.56,0.2,0.05,0.05,0.05,2.07,0.0,87.34400000000001,0.0
2.03,0.56,0.67,0.99,9.79,0.12,0.88,0.18,8.44,0.67,0.98,0.16,0.05,0.05,0.05,0.68,0.0,123.30916030534351,1.0
4.75,0.23,0.42,0.84,5.3,0.49,0.79,0.32,3.48,0.04,0.13,0.34,0.05,0.05,0.05,2.0,0.0,0.0,138.504
