4999,4999,4999,2,4999,4999,6,4999,4999,4999,4999,4999,0,4999,4999,4999,4999,4999,0,0,4999,4999,4999,4999,4999,4999,4999,1,1,3957,1132,5,0,0,801,55,294,6,3,160,747,5,335,2435,70,921,10,40,77,0,388,1,8,82,42,19,55,0,20,8,18,507,41,127,157,1255,159,2,3,21,7,25,32,7,1,5,0,107,207,124,129,63,48,5,20,24,23,206,101,3,58,4,51,6,1,1,2,921,71,1,446,28,17,2,185,104,2,464,2,78,1,3,1,4,9,382,114,103,67,366,300,12,41,138,4,0,12,155,16,349,104,4,168,644,4,2,15,123,96,11,204,22,1,2,208,102,118,15,344,10,16,8,40,41,18,29,22,45,19,93,11,120,5,159,4,3,56,308,91,6,59,29,3791,38,0,66,5,2,0,147,20,11,14,105,10,39,71,59,1,246,123,54,3,7,38,85,77,8,87,6
4999,0,0,1,4999,17,4999,4999,1,4999,4999,4999,1,4999,5,4999,4999,4999,4999,2,0,2,4999,4999,415,0,2,3707,4999,4999,3744,3,1,434,16,432,22,51,20,3,213,0,1,2,18,2565,17,378,13,129,18,27,129,5,7,7,33,1,52,0,41,841,256,32,12,636,1687,0,3,14,11,2,10,10,6,0,5,85,32,1145,140,141,11,45,277,15,2,4,316,6,87,11,25,2,8,5,3,8,153,18,1,4,4,12,23,482,0,56,5,36,1,14,26,45,44,3,63,7,64,11,534,59,56,51,114,3,1874,1641,38,135,74,46,2,35,20,94,21,1,1464,217,15,10,9,7,352,157,152,2,22,36,9,34,53,3,7,14,78,94,37,18,32,12,15,341,0,10,78,17,2,1,29,0,8,43,9,58,21,4,25,14,5,1,0,120,63,129,2,34,3,95,52,35,1,3,1,21,14,1,593,12
4999,1,1,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,0,4999,4999,4999,4999,1,416,36,686,29,6,1,4999,2038,0,7,1077,20,35,1112,106,251,0,0,0,31,18,617,66,102,187,20,1,0,80,22,95,5,76,5,67,897,140,0,4,391,617,18,2,65,190,7,12,25,8,0,5,0,267,1161,354,4345,293,27,459,0,100,0,115,0,143,1,0,3,1,20,7,114,17,4,0,23,4,8,7,85,1,189,6,32,2,29,2,13,22,0,115,0,61,41,304,5,15,143,153,9,521,413,70,18,37,11,0,117,24,150,7,0,16,228,0,10,0,3,507,82,108,24,0,7,109,1091,153,233,210,0,4,151,202,533,57,56,52,81,31,0,44,149,0,148,38,135,0,31,3,314,40,26,2,35,0,0,9,151,158,49,0,33,3,25,79,5,0,52,0,34,23,10,77,19
3,1,4999,4999,4999,4999,4999,4999,17,4999,4999,4999,0,4999,4999,4999,2,454,0,0,4999,1,4999,4999,4999,4999,0,3323,831,65,5,7,1285,258,0,7,413,31,89,3,1112,84,0,0,0,2747,2,220,195,634,165,5,11,4,10,41,7,9,121,3,49,157,36,9,582,826,124,25,0,321,56,1,62,1,19,5,0,3,1,843,649,51,107,21,45,28,0,27,177,3,96,3,24,0,11,10,6,156,68,12,1638,11,9,2,86,48,4,109,15,27,1,2,1,82,78,63,328,581,136,14,63,69,16,8,75,0,374,242,4,39,301,60,21,41,42,83,2,497,88,160,330,29,2,0,32,828,62,45,105,3,52,5,3,15,48,17,28,64,44,241,760,20,48,530,4,2,25,1,209,28,38,43,823,9,0,130,15,6,6,59,49,35,1,130,47,927,28,20,1,91,9,50,6,7,146,30,3,0,22,0
1,0,0,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,0,4999,4999,2,4999,0,4999,4999,4999,4999,0,4999,4173,281,1,991,0,0,27,13,2,413,12,134,1,48,18,771,313,10,126,8,36,28,98,89,7,4,34,10,2,206,0,111,3,36,26,18,12,165,329,137,4,0,121,252,1,40,49,0,5,0,557,60,1566,137,54,181,29,933,24,8,176,5,18,361,9,46,0,3,8,7,52,27,0,286,8,11,1,27,57,5,63,13,4,3,7,15,49,58,205,105,873,42,37,327,0,36,76,70,4,661,1717,87,188,131,52,16,37,60,119,5,17,397,327,6,17,0,3,286,159,127,6,44,3,1,1,9,30,26,176,18,90,156,388,563,20,13,110,5,18,4,18,98,77,83,3,334,44,6,49,27,14,11,46,88,114,5,7,16,54,279,8,1,333,83,0,3,28,222,47,10,21,175,14
4999,4999,4999,4999,4999,4999,1,0,4999,4999,4999,4999,0,4999,4999,4999,4999,4999,4999,4999,4999,422,4999,4999,4999,4999,4999,4889,1201,0,182,5,1059,329,38,28,0,22,11,0,0,67,115,806,143,552,2,22,11,89,538,9,19,29,9,5,10,4,35,6,190,155,0,44,1,776,54,2,1,18,35,5,8,12,14,2,2,149,407,283,121,17,120,66,279,33,46,331,134,2,327,0,17,3,2,4,5,196,39,1,2827,110,81,0,19,255,0,124,3,0,7,6,13,13,174,19,31,1031,298,40,232,0,25,5,25,4,119,557,0,348,122,32,27,531,4,33,10,24,16,268,117,13,4,0,50,10,72,0,25,4,43,2,12,4,50,85,130,69,227,35,13,27,19,14,0,2,25,149,68,15,64,1,122,9,5,18,16,7,0,545,70,15,0,89,20,1219,64,126,2,168,12,31,2,7,300,127,15,4,183,0
2,0,0,4999,2,4999,4999,4999,4999,4999,4999,4999,4999,2,4999,0,1,2,4999,4999,0,4999,4999,4999,4999,0,4999,3538,102,1,106,4,3,313,15,3,84,74,33,7,57,33,127,235,183,1634,1,1,91,459,119,0,10,431,2,2,61,5,38,10,137,78,9,84,47,205,1948,4,2,213,335,3,2,18,2,4,1,608,187,253,12,44,3,29,61,20,61,145,338,13,303,1,48,0,0,1,0,0,14,3,1621,104,60,3,227,169,3,255,1,6,3,1,3,5,35,224,37,482,10,111,289,3,40,241,15,2,152,57,24,134,150,1,14,973,7,41,2,193,25,419,74,9,1,0,81,518,19,1,188,4,79,32,7,42,30,14,171,57,409,105,272,15,44,6,5,1,6,64,65,4,55,1,47,30,1,405,77,1,47,145,172,634,0,1,76,72,46,4,5,596,146,51,21,6,963,1,23,5,346,0
4999,0,1,4999,1300,4999,1,1,0,4999,4999,4999,0,4999,4999,1,4999,4999,0,0,4999,4999,4999,0,4999,468,0,92,538,18,2,1,198,157,6,0,26,155,146,172,61,46,106,1331,19,841,4,279,162,4,354,10,7,17,13,53,16,3,31,4,301,204,154,249,24,1066,109,5,1,20,483,2,19,1,1,4,0,227,189,162,468,91,264,0,583,21,188,126,41,4,29,1,11,3,7,2,10,278,118,14,262,17,18,7,0,35,4,35,2,81,4,11,4,6,92,28,47,109,145,17,634,17,131,1,64,3,71,483,106,175,122,9,171,683,9,66,29,110,108,300,268,4,2,3,185,403,14,77,353,4,169,0,1,165,55,60,26,81,424,194,96,70,61,467,7,6,4,105,56,16,5,70,124,31,1,75,2,5,15,226,140,99,0,11,3,352,245,8,7,392,65,0,14,1,84,130,22,7,142,2
11,0,0,4,40,4999,4999,259,4999,76,4999,4999,4999,4999,4999,0,4999,4999,529,119,0,4999,9,4999,4999,0,4999,4108,354,0,36,1,1311,348,1088,9,0,58,52,0,0,215,688,1065,82,1088,1,28,233,83,106,4,15,157,15,34,12,25,122,1,150,395,0,134,329,0,22,4,0,69,193,3,5,6,2,8,0,90,64,1460,87,36,85,1,323,63,42,227,333,12,2202,4,27,1,10,6,0,165,2,9,911,5,44,0,29,0,2,1079,3,40,1,5,20,133,159,257,10,253,20,138,1065,26,26,114,134,11,85,4,11,183,126,1,81,20,9,123,27,76,581,137,305,39,1,0,50,8,184,7,251,28,6,20,37,13,18,13,28,22,393,52,309,52,15,29,2,10,11,28,121,25,9,8,32,58,1,217,41,20,7,106,135,61,6,9,9,34,180,77,1,28,35,26,13,7,322,73,45,11,168,4
4999,1,4999,4999,4999,4999,4999,0,0,4999,4999,4999,0,4999,4999,4999,4999,4999,0,0,4999,4999,4999,1,4999,4999,0,186,180,163,0,2,0,600,15,18,47,25,115,519,93,3,1,69,11,258,15,177,4,56,16,10,12,3,49,32,7,2,60,4,180,20,164,2,50,4103,2332,4,0,0,89,0,22,88,55,1,2,43,10,536,209,18,40,61,95,44,146,4,254,2,170,4,6,3,1,4,1,778,94,7,1,80,71,0,209,126,3,37,3,52,7,0,8,7,115,10,161,5,210,79,125,5,26,124,46,1,901,23,48,797,133,42,8,2345,11,5,3,4,50,294,17,5,1,0,253,175,85,36,28,106,5,7,0,57,18,4,154,112,280,367,10,50,8,362,18,15,27,37,15,68,0,60,2,13,0,54,20,26,33,766,3,2,4,61,9,57,3,32,3,142,45,32,25,19,8,27,49,14,23,2
4999,4999,0,4999,4999,4999,2,4999,1,4999,4999,2,1,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,4999,0,4545,16,1,75,11,4088,0,1,3,189,136,181,88,290,269,67,182,529,6,958,0,234,311,155,253,2,17,35,0,15,296,7,30,0,148,379,97,7,5,490,342,3,1,54,36,4,44,22,12,1,4,1792,64,440,253,4,1,37,39,55,92,176,269,12,224,1,5,4,7,3,4,76,3,7,261,20,63,2,36,86,3,626,7,14,0,4,5,106,28,617,111,221,86,43,278,5,12,76,13,0,478,247,56,215,149,3,9,144,33,40,0,34,858,520,127,17,2,2,699,264,543,2,4,8,144,12,4,5,9,69,30,459,124,87,17,51,71,20,2,0,2,68,141,4,44,23,532,16,0,26,76,10,12,336,263,164,4,13,54,328,496,4,7,123,181,5,18,96,54,35,3,2,61,0
